Latitude,Longitude,Stop Name,Stop Status
40.699311,-73.911253,PALMETTO ST/WYCKOFF AV,at stop
40.686615,-73.947133,GATES AV/MARCY AV,at stop
40.700105,-73.911636,GATES AV/WYCKOFF AV,at stop
40.689257,-73.924126,GATES AV/RALPH AV,at stop
40.687425,-73.959631,GREENE AV/CLASSON AV,at stop
40.689217,-73.924482,GATES AV/RALPH AV,approaching
40.695268,-73.916397,GATES AV/WILSON AV,approaching
40.68622,-73.950544,GATES AV/NOSTRAND AV,approaching
40.69456,-73.990601,CADMAN PZ W/TILLARY ST,approaching
40.687856,-73.936347,GATES AV/LEWIS AV,approaching
40.688555,-73.980052,FULTON ST/ASHLAND PL,< 1 stop away
40.685938,-73.972519,GREENE AV/ADELPHI ST,< 1 stop away
40.686444,-73.948612,GATES AV/NOSTRAND AV,< 1 stop away
40.685887,-73.97291,FULTON ST/S ELLIOTT PL,< 1 stop away
40.695432,-73.988997,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
40.696175,-73.990668,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
40.696187,-73.990983,ADAMS ST/BKLYN SUPREME CRT,< 1 stop away
